domain,new_domain,facebook,twitter,youtube,instagram,linkedin,medium,weibo,snapchat
squareup.com,squareup.com,https://www.facebook.com/square,https://twitter.com/square,,https://instagram.com/square,,,,
nih.gov,nih.gov,https://www.facebook.com/nih.gov,https://twitter.com/nih,https://www.youtube.com/user/nihod,https://www.instagram.com/nihgov/,,,,
mi.com,mi.com/global,https://www.facebook.com/xiaomiglobal,https://twitter.com/xiaomi,https://www.youtube.com/user/xiaomichina,https://www.instagram.com/xiaomi.global/,,,,
gojek.io,gojek.io,https://www.facebook.com/gojektech ,https://twitter.com/gojektech ,https://www.youtube.com/channel/ucrqzgssnyyxzhygxlddkgew/featured ,https://www.instagram.com/gojek.tech/ ,https://www.linkedin.com/company/gojektech/,,,
quibi.com,quibi.com,,https://twitter.com/quibi?lang=en,https://www.youtube.com/c/quibi,https://www.instagram.com/quibi/,https://www.linkedin.com/company/quibi-mobiletv,,,
antfin.com,antfin.com,,https://twitter.com/alipay,,,https://www.linkedin.com/company/167072?trk=tyah&trkinfo=tarid%3a1413438028067%2ctas%3aalipay%2cidx%3a3-1-8,,http://weibo.com/xiaoweijinfu,
nvidia.com,nvidia.com/en-us,https://www.facebook.com/nvidia,https://twitter.com/nvidia,https://www.youtube.com/user/nvidia,https://www.instagram.com/nvidia/?hl=en,https://www.linkedin.com/company/nvidia/,,,
impossiblefoods.com,impossiblefoods.com,https://www.facebook.com/impossiblefoods/,https://twitter.com/impossiblefoods,https://www.youtube.com/channel/ucdoar7cjp7c__9d_pif3hsa,https://www.instagram.com/impossible_foods,https://www.linkedin.com/company/impossible-foods-inc./,https://medium.com/impossible-foods,,
facebook.com,facebook.com,https://www.facebook.com/help/568137493302217,,,,,,,
buzzfeed.com,buzzfeed.com,,,,,,,,
creditkarma.com,creditkarma.com,https://www.facebook.com/creditkarma,https://www.twitter.com/creditkarma,https://www.youtube.com/user/creditkarma,,,,,
